guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
u&LEg:^E_E,上京する,to go to the capital,Y,じょうきょうする,,,"Genki, Kanji_Practice, lesson-7, 京"
Q]Zu9^9^T1,電子辞書,electronic dictionary,Y,でんしじしょ,,,"Genki, Kanji_Practice, lesson-7, 京"
AUkyenwIn~,小学校,elementary school,Y,しょうがっこう,,,"Genki, Kanji_Practice, lesson-7, 京"
tXH`egcIcr,小学生,elementary school student,Y,しょうがくせい,,,"Genki, Kanji_Practice, lesson-7, 京"
uq2w:&=%FC,兄弟,brothers and sisters,Y,きょうだい,,,"Genki, leech, lesson-7"
AE}=!00v>k,国,country; place of origin,Y,くに,,,"Genki, lesson-7"
jEw5ks&3k<,車,car,Y,くるま,,,"Genki, lesson-7"
q#@Vd{kruM,ゲーム,game,Y,,,,"Genki, lesson-7"
A*=*OGjD|3,コンビニ,convenience store,Y,,,,"Genki, lesson-7"
Q*]gexE=6U,サークル,club activity,Y,,,,"Genki, lesson-7"
O|&~448A!,食堂,cafeteria; dining commons,Y,しょくどう,,,"Genki, leech, lesson-7"
xrNqz{%x{|,父,(my) father,Y,ちち,,,"Genki, lesson-7"
CjOdk[73.K,ディーブイディー,DVD,Y,,,,"Genki, lesson-7"
xYxL)*$}b*,母,(my) mother,Y,はは,,,"Genki, lesson-7"
m0s@qzWuEH,眼鏡,glasses,Y,めがね,,,"Genki, lesson-7"
dMtFd*[!R*,会う,to meet,Y,あう,,,"Genki, Kanji_Practice, leech, lesson-7, 会_and_社"
fUTe[[]9v,会社員,office worker,Y,かいしゃいん,,,"Genki, Kanji_Practice, lesson-7, 会_and_社"
fXABxvJ9uu,会議,meeting,Y,かいぎ,,,"Genki, Kanji_Practice, leech, lesson-7, 会_and_社"
fV|O[_V7c+,教会,church,Y,きょうかい,,,"Genki, Kanji_Practice, leech, lesson-7, 会_and_社"
rW#}t;C0NR,神社,shrine,Y,じんじゃ,,,"Genki, Kanji_Practice, lesson-7, 会_and_社"
b-;.SKF2Q{,社会,society,Y,しゃかい,,,"Genki, Kanji_Practice, leech, lesson-7, 会_and_社"
Q_3fhEY{_~,入社,entry to a company,Y,にゅうしゃ,,,"Genki, Kanji_Practice, lesson-7, 会_and_社"
cu#$a-n@jV,頭がいい,bright; smart; clever,Y,あたまがいい,,,"Genki, lesson-7, い-adjectives_and_な-adjectives"
H5Ayvw_4D$,かわいい,cute,Y,,,,"Genki, lesson-7, い-adjectives_and_な-adjectives"
Fld/Q)fRYl,背が高い,tall (stature),Y,せがたかい,,,"Genki, lesson-7, い-adjectives_and_な-adjectives"
"HR,ct-EE>a",背が低い,short (stature),Y,せがひくい,,,"Genki, leech, lesson-7, い-adjectives_and_な-adjectives"
j>A1*_9I&t,長い,long,Y,ながい,,,"Genki, leech, lesson-7, い-adjectives_and_な-adjectives"
r|sK4PRdM-,速い,fast,Y,はやい,,,"Genki, leech, lesson-7, い-adjectives_and_な-adjectives"
O(3/sh}~nw,短い,short (length),Y,みじかい,,,"Genki, leech, lesson-7, い-adjectives_and_な-adjectives"
"H,S^Lhb#}{",親切,kind,Y,しんせつ(な),,,"Genki, leech, lesson-7, い-adjectives_and_な-adjectives"
f]-T|oK8W~,便利,convenient,Y,べんり(な),,,"Genki, lesson-7, い-adjectives_and_な-adjectives"
eFtgL:A{Ou,父,father (formal),Y,ちち,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
n+tA6i)Z11,お父さん,father,Y,おとうさん,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
Cx/Bv]!qGn,父母,father and mother,Y,ふぼ,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
f/O(HNt()(,祖父,my grandfather (formal),Y,そふ,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
Ec&`k[T7Wi,母,mother (formal),Y,はは,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
i4|ftV{D-.,お母さん,mother,Y,おかあさん,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
ff+9R6VVE},母語,mother tongue,Y,ぼご,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
K$G5lWg`d:,祖母,My grandmother (formal),Y,そぼ,,,"Genki, Kanji_Practice, lesson-7, 父_and_母"
"JP,WfP4,cD",歌う,to sing,Y,うたう,,,"Genki, lesson-7, U-verbs"
M/7pxWK*z*,かぶる,to put on (a hat),Y,,,,"Genki, lesson-7, U-verbs"
rOVPG0S2D),知る,to get to know,Y,しる,,,"Genki, lesson-7, U-verbs"
vnLg&v!nOb,知っています,I know,Y,しっています,,,"Genki, lesson-7, U-verbs"
quN[l7IHi=,知りません,I do not know,Y,しりません,,,"Genki, lesson-7, U-verbs"
rxeD^B3{mx,住む,to live,Y,すむ,,,"Genki, leech, lesson-7, U-verbs"
n$=VNdW175,はく,to put on (items below your waist),Y,,,,"Genki, lesson-7, U-verbs"
o`NtMj@Ehg,太る,to gain weight,Y,ふとる,,,"Genki, lesson-7, U-verbs"
Qld>&@{Uy|,太っています,to be on the heavy side,Y,ふとっています,,,"Genki, lesson-7, U-verbs"
tYmDf2W7R-,(めがねを)かける,to put on (glasses),Y,,,,"Genki, leech, lesson-7, U-verbs"
unC=|xQ#Yh,着る,to put on (clothes above your waist),Y,きる,,,"Genki, leech, lesson-7, U-verbs"
ERwt}<UcU(,勤める,to work for,Y,つとめる,,,"Genki, lesson-7, U-verbs"
crC!nH#!ZP,やせる,to lose weight,Y,,,,"Genki, lesson-7, U-verbs"
f(DBWB~Wl9,やせています,to be thin,Y,,,,"Genki, lesson-7, U-verbs"
MhEw@B28h*,結婚する,to get married,Y,けっこんする,,,"Genki, lesson-7, U-verbs"
x4z!V#D8;{,高い,expensive; high,Y,たかい,,,"Genki, Kanji_Practice, lesson-7, 高"
hcmN|>l!d@,高校,high school,Y,こうこう,,,"Genki, Kanji_Practice, lesson-7, 高"
n>;)ML1eCG,高校生,high school student,Y,こうこうせい,,,"Genki, Kanji_Practice, lesson-7, 高"
ov_+~&eotx,最高,the best,Y,さいこう,,,"Genki, Kanji_Practice, lesson-7, 高"
s8E!9f@%jB,中学校,junior high school,Y,ちゅうがっこう,,,"Genki, Kanji_Practice, lesson-7, 高"
jL-nl]1!QG,毎週,every week,Y,まいしゅう,,,"Genki, Kanji_Practice, lesson-7, 高"
m[Qp}]~waq,毎年,every year,Y,まいねん／まいとし,,,"Genki, Kanji_Practice, lesson-7, 高"
oLv|}z#{jx,～が,"..., but",Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-7"
oQ.XbEDGbn,何も,nothing,Y,なにも,,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-7"
wfL=E_}oI[,～人,[counter for people],Y,~にん,,,"Adverbs_and_Other_Expressions, Genki, Japanese::Counters::人, lesson-7"
k_Xe+6u9gl,別に,nothing in particular,Y,べつに,,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-7"
nyj-ysY{_2,もしもし,Hello? (used on the phone),Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-7"
"fC5.,$h0tS",もちろん,of course,Y,,,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-7"
Gv.2X7fRO8,よかったら,if you like,Y,,,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-7"
QC8iJOzwIu,日本語,Japanese (language),Y,にほんご,,,"Genki, Kanji_Practice, lesson-7, 語_and_文"
^$|74ymc|,英語,English (language),Y,えいご,,,"Genki, Kanji_Practice, lesson-7, 語_and_文"
k(shhZR<_L,敬語,honorific expressions,Y,けいご,,,"Genki, Kanji_Practice, leech, lesson-7, 語_and_文"
iy9Lrg=|Bg,文学,literature,Y,ぶんがく,,,"Genki, Kanji_Practice, lesson-7, 語_and_文"
Ig<1GMu`F2,作文,essay / composition,Y,さくぶん,,,"Genki, Kanji_Practice, leech, lesson-7, 語_and_文"
feK<AFF&$w,文字,letter; character,Y,もじ,,,"Genki, Kanji_Practice, lesson-7, 語_and_文"
ivw*7GOb6Y,文化,culture,Y,ぶんか,,,"Genki, Kanji_Practice, leech, lesson-7, 語_and_文"
w>JmqeS-Y,文法,grammar,Y,ぶんぽう,,,"Genki, Kanji_Practice, lesson-7, 語_and_文"
ufF2ce|D_|,耳,ear,Y,みみ,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
"JSDyXd._U,",手,hand,Y,て,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
s2bsLhZ*]d,首,neck,Y,くび,,,"Genki, leech, lesson-7, Parts_of_the_Body, Useful_Expressions"
A5`Ib~~Lw8,歯,tooth,Y,は,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
zypBr#okAv,指,finger,Y,ゆび,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
te;*+^_@et,鼻,nose,Y,はな,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
orTd)AMxXB,顔,face,Y,かお,,,"Genki, leech, lesson-7, Parts_of_the_Body, Useful_Expressions"
J)vDP(#Xhl,頭,head,Y,あたま,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
"q%,x]H5Cz8",肩,shoulder,Y,かた,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
Ev!H:1xfbp,胸,chest,Y,むね,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
b/r.u^92{`,背中,back (of body),Y,せなか,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
kryKq/N;b#,おなか,belly; stomach,Y,,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
cogpS561SC,おしり,ass / bottom / buttocks,Y,,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
g8.Mwyp4hw,足,foot,Y,あし,,,"Genki, lesson-7, Parts_of_the_Body, Useful_Expressions"
MAN^V2p6.|,帰る,to return,Y,かえる,,,"Genki, Kanji_Practice, lesson-7, 帰_and_入"
eLZGdG[1~6,帰国,returning to one's country,Y,きこく,,,"Genki, Kanji_Practice, leech, lesson-7, 帰_and_入"
McK~m?qZ=[,帰宅,returning home,Y,きたく,,,"Genki, Kanji_Practice, leech, lesson-7, 帰_and_入"
P+jU4^Clca,帰り,return,Y,かえり,,,"Genki, Kanji_Practice, lesson-7, 帰_and_入"
"p.Dg%kW,TM",入口,entrance,Y,いりぐち,,,"Genki, Kanji_Practice, lesson-7, 帰_and_入"
BOzSE^3@YF,入れる,to put something in,Y,いれる,,,"Genki, Kanji_Practice, lesson-7, 帰_and_入"
xQ]>NvC4&+,輸入,import,Y,ゆにゅう,,,"Genki, Kanji_Practice, leech, lesson-7, 帰_and_入"
eJ~%%8]<[4,四人,four people,Y,よにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
"I,%ltDVc%m",五人,five people,Y,ごにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
I>8{EF)mS|,六人,six people,Y,ろくにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
OO{l-F#q-m,七人,seven people,Y,しちにん／ななにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
PXn}v=Hps:,八人,eight people,Y,はちにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
kz:ZtAM0d!,9人,nine people,Y,きゅうにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
F)[&x7{:sc,10人,ten people,Y,じゅうにん,,,"Bonus_Vocabulary, Genki, Japanese::Counters::人, lesson-7"
CsQdsbH)hE,カメラ,camera,Y,,,,"Genki, lesson-8, Nouns_1, Vocabulary"
C5m!olOn.a,カラオケ,karaoke,Y,,,,"Genki, lesson-8, Nouns_1, Vocabulary"
x;$j5/~uyi,空気,air,Y,くうき,,,"Genki, leech, lesson-8, Nouns_1, Vocabulary"
i(2`3M&@bw,会員,member,Y,かいいん,,,"Genki, Kanji_Practice, lesson-8, 員"
i^*5f(Lz-E,聞く,to listen,Y,きく,,,"Genki, Kanji_Practice, lesson-8, 員"
m/2<oJwR^.,作品,artistic piece,Y,さくひん,,,"Genki, Kanji_Practice, leech, lesson-8, 作"
r+N;bOwt3k,事,thing,Y,こと,,,"Genki, Kanji_Practice, leech, lesson-8, 作"
f%EF%Cg;O6,洗う,to wash,Y,あらう,,,"Genki, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
CzO%oE.!yT,いる,to need,Y,,,,"Genki, leech, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
c;&%pzdT1V,遅くなる,to be late,Y,おそくなる,,,"Genki, leech, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
"q#Kx,y@M;g",切る,to cut,Y,きる,,,"Genki, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
Pm_)TBb4h-,持っていく,to take (a thing),Y,もっていく,,,"Genki, leech, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
Bj#$vBBDZ#,車いす,wheel chair,Y,くるまいす,,,"Genki, Kanji_Practice, lesson-8, 電_and_車"
j9gra6b~@H,じろじろ見る,to stare (at...),Y,じろじろみる,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
x&&{&GC?xC,始める,to begin,Y,はじめる,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
"czuN!>,m9%",洗濯する,to do laundry,Y,せんたくする,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
F365n<RO;T,休み,holiday; absence,Y,やすみ,,,"Genki, Kanji_Practice, leech, lesson-8, 休"
PCrHQ4]e(S,休日,holiday,Y,きゅうじつ,,,"Genki, Kanji_Practice, leech, lesson-8, 休"
o%`d{tMBhu,読み物,reading matter; reading material,Y,よみもの,,,"Genki, Kanji_Practice, lesson-8, 休"
"M!R7=,`X9<",うん,uh-huh; yes,Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-8, Vocabulary"
sCBv[qoi7p,乾杯,Cheers! (a toast),Y,かんぱい,,,"Adverbs_and_Other_Expressions, Genki, lesson-8, Vocabulary"
eKk|{~pa0:,残念(ですね),That's too bad.,Y,ざんねん(ですね),,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-8, Vocabulary"
dZg6M@Cise,～について,about...; concerning...,Y,,,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-8, Vocabulary"
hY`vEi?BnI,まだ+negative,not...yet,Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-8, Vocabulary"
Qk!h{&EKxO,みんなで,all (of the people) together,Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-8, Vocabulary"
gLGT4Z}_@v,不思議な,mysterious,Y,ふしぎな,,,"Genki, Kanji_Practice, leech, lesson-8, 思"
U)yiHimmN,思い出す,to recall; to remember,Y,おもいだす,,,"Genki, Kanji_Practice, leech, lesson-8, 思"
B2$;qwt<9l,次女,second daughter,Y,じじょ,,,"Genki, Kanji_Practice, lesson-8, 思"
P664mLGKP#,目次,table of contents,Y,もくじ,,,"Genki, Kanji_Practice, leech, lesson-8, 思"
vC>ll|mv=N,次回,next time,Y,じかい,,,"Genki, Kanji_Practice, leech, lesson-8, 思"
r{.UXOc`9=,何,what,Y,なに,,,"Genki, Kanji_Practice, lesson-8, 思"
fAnU3p@tq6,何時,What time?,Y,なんじ,,,"Genki, Japanese::Phrases, Kanji_Practice, lesson-8, 思"
cVZvD3S*|w,何人,how many people,Y,なんにん,,,"Genki, Kanji_Practice, lesson-8, 思"
BE8m&$N2;O,ご飯,Rice,Y,ごはん,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
"d9Y>&+4sM,",みそ汁,Miso soup,Y,みそしる,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
D:KuORNLb<,おかず,side dish,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, leech, lesson-8"
d%Lh>qB9DF,定食,set meal,Y,ていしょく,,,"Common_Dishes_in_Japan, Culture_Note, Genki, leech, lesson-8"
wHM5G8fW*v,カレーライス,Curry with rice,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
hY[MVUuoBK,えびフライ,Deep-fried shrimp,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
l$X*&mE$)~,ラーメン,Ramen noodles,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
"K?,n!6}}}/",うどん,Udon noodles,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
";!#.C6},4",ぎょうざ,Dumplings,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
e<Et7^U+zP,牛丼,Beef rice bowl,Y,ぎゅうどん,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
oF*X&EjQj7,ハンバーガ,Hamburger steak,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
CTmN00kRkx,さしみ,Raw seafood,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
wD;WWHO|Iy,お好み焼き,Savory pancake,Y,おこのみやき,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
"j^%nm=9,up",スープ,Soup,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
Axk~Z;W{K@,ヨーグルト,Yogurt,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
huUUIvh7&0,焼き魚,Broiled fish,Y,やきざかな,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
s@5P_6a%LK,たまご,Egg,Y,,,,"Common_Dishes_in_Japan, Culture_Note, Genki, lesson-8"
G2]>PoKbED,雨,rain,Y,あめ,,,"Genki, lesson-8, Nouns_1, Vocabulary"
jW8r!q!Sjc,今朝,this morning,Y,けさ,,,"Genki, lesson-8, Nouns_1, Vocabulary"
DGi97yTD}g,黒板,blackboard,Y,こくばん,,,"Genki, lesson-8, Nouns_1, Vocabulary"
j=vS#wgA*.,仕事,job; work; occupation,Y,しごと,,,"Genki, lesson-8, Nouns_1, Vocabulary"
uY8DvPI5%<,店員,store clerk,Y,てんいん,,,"Genki, Kanji_Practice, lesson-8, 員"
f%)?LK2xS3,駅員,station staff,Y,えきいん,,,"Genki, Kanji_Practice, leech, lesson-8, 員"
ONpDGC>w:r,新聞,newspaper,Y,しんぶん,,,"Genki, Kanji_Practice, lesson-8, 員"
x6`;Dwtp+-,新幹線,Bullet Train,Y,しんかんせん,,,"Genki, Kanji_Practice, lesson-8, 員"
yPZ&5@#[1=,新鮮な,fresh,Y,しんせんな,,,"Genki, Kanji_Practice, lesson-8, 員"
elwp<:$|3K,聞こえる,can be heard,Y,きこえる,,,"Genki, Kanji_Practice, lesson-8, 員"
K.bqAIq7dL,天気予報,weather forecast,Y,てんきよほう,,,"Genki, leech, lesson-8, Nouns_2, Vocabulary"
b9Ri8H&qI^,所,place,Y,ところ,,,"Genki, leech, lesson-8, Nouns_2, Vocabulary"
fEc&IIYg6#,トマト,tomato,Y,,,,"Genki, lesson-8, Nouns_2, Vocabulary"
d7c&gPb*qI,夏,summer,Y,なつ,,,"Genki, lesson-8, Nouns_2, Vocabulary"
dy|QYu.QeD,パーティー,party,Y,,,,"Genki, lesson-8, Nouns_2, Vocabulary"
O_Zsx:Ru2S,バーベキュー,barbecue,Y,,,,"Genki, lesson-8, Nouns_2, Vocabulary"
GoNn<&V!qz,はし,chopsticks,Y,,,,"Genki, lesson-8, Nouns_2, Vocabulary"
QS4_r_u|He,冬,winter,Y,ふゆ,,,"Genki, lesson-8, Nouns_2, Vocabulary"
GB.T53iabm,ホームステイ,homestay; living with a local family,Y,,,,"Genki, lesson-8, Nouns_2, Vocabulary"
Fy}{^aO_u#,作者,author,Y,さくしゃ,,,"Genki, Kanji_Practice, leech, lesson-8, 作"
t}^ch4VmKI,仕事,job,Y,しごと,,,"Genki, Kanji_Practice, lesson-8, 作"
CXki11TU5Y,仕返し,revenge,Y,しかえし,,,"Genki, Kanji_Practice, lesson-8, 作"
vipP^<<bb#,仕える,to serve; to work under,Y,つかえる,,,"Genki, Kanji_Practice, leech, lesson-8, 作"
PXp8LW|h#>,火事,fire (disaster),Y,かじ,,,"Genki, Kanji_Practice, lesson-8, 作"
O&q&y0n330,返事,reply,Y,へんじ,,,"Genki, Kanji_Practice, lesson-8, 作"
P1_0$hSkQ],上手,skillful; good at,Y,じょうず(な),,,"Genki, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
f](z(?bX3),下手,clumsy; poor at,Y,へた(な),,,"Genki, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
ApYHwu9M-s,有名,famous,Y,ゆうめい(な),,,"Genki, Japanese::Phrases, leech, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
b@#Ej_d9+C,雨が降る,it rains,Y,あめがふる,,,"Genki, leech, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
l5xNBpt]ag,電話,telephone,Y,でんわ,,,"Genki, Kanji_Practice, lesson-8, 電_and_車"
A%_9/V]0]0,電池,battery,Y,でんち,,,"Genki, Kanji_Practice, lesson-8, 電_and_車"
b~cj;JDYAx,自転車,bicycle,Y,じてんしゃ,,,"Genki, Kanji_Practice, lesson-8, 電_and_車"
A8@zti3Uq=,駐車場,parking lot,Y,ちゅうしゃじょう,,,"Genki, Kanji_Practice, leech, lesson-8, 電_and_車"
y;zoGbbKRO,捨てる,to throw away,Y,すてる,,,"Genki, leech, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
t<D~^->r`r,運転する,to drive,Y,うんてんする,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
w!WzP>VgLO,掃除する,to clean,Y,そうじする,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
p%r^Vc#Bbq,電話する,to call,Y,でんわする,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
vQ(T=Vl?(;,料理する,to cook,Y,りょうりする,,,"Genki, lesson-8, Ru-verbs_and_Irregular_verbs, Vocabulary"
g<E*>@RtQ_,休む,to be absent; to rest,Y,やすむ,,,"Genki, Kanji_Practice, lesson-8, 休"
H5E.|RrP)2,言語学,linguistics,Y,げんごがく,,,"Genki, Kanji_Practice, leech, lesson-8, 休"
l7:g/f(?xr,方言,dialect,Y,ほうげん,,,"Genki, Kanji_Practice, lesson-8, 休"
D3DM]tR(c),言葉,word; language,Y,ことば,,,"Genki, Kanji_Practice, leech, lesson-8, 休"
qhxM3cb-h_,読書,reading (books),Y,どくしょ,,,"Genki, Kanji_Practice, leech, lesson-8, 休"
"L$paWAPmK,",いつも,always,Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-8, Vocabulary"
JRE5<j/9ir,ううん,uh-uh; no,Y,,,,"Adverbs_and_Other_Expressions, Genki, lesson-8, Vocabulary"
OE7RGsQj;I,言う,to say,Y,いう,,,"Genki, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
x`Z|Ee0k23,思う,to think,Y,おもう,,,"Genki, leech, lesson-8, Vocabulary, な-adjectives_and_U-verbs"
"JjVpH,f3f_",何か,something,Y,なにか,,,"Genki, lesson-8, Nouns_2, Vocabulary"
c(4Xm1k8dB,作る,to make,Y,つくる,,,"Genki, Kanji_Practice, lesson-8, 作"
gssq;l(e&T,喜ぶ,to be glad,Y,よろこぶ,,,"Emotions, Japanese::Verbs"
yAMcRFw{g=,怒る,to get angry,Y,おこる,,,"Emotions, Japanese::Verbs"
y:`z0c_?%I,悲しむ,to get sad,Y,かなしむ,,,"Emotions, Japanese::Verbs"
drFA9%C#+_,楽しむ,to enjoy (oneself),Y,たのしむ,,,"Emotions, Japanese::Verbs"
x*E$oa*Wg8,妬む,to get jealous,Y,ねたむ ,,,"Emotions, Japanese::Verbs"
ptVK;9^ZsO,驚く,to get surprised,Y,おどろく ,,,"Emotions, Japanese::Verbs"
j*q;U.xdTW,苦しむ,to suffer,Y,くるしむ,,,"Emotions, Japanese::Verbs"
D!y{K=-S}+,悩む,to worry,Y,なやむ,,,"Emotions, Japanese::Verbs"
x2wA[aK!(7,戸惑う,to get confused,Y,とまどう,,,"Emotions, Japanese::Verbs"
y92h]nv*Qk,まがる,To turn,Y,,,,Japanese::Verbs
DC(kej0NaE,暖かい,Warm,Y,あたたかい,,,Japanese::Adjectives
E6(/x|hJ2M,涼しい,Cool,Y,すずしい,,,Japanese::Adjectives
n9]TidN/ie,風,Wind,Y,かぜ,,,Japanese::Adjectives
rn-RBYt~_>,太陽,Sun,Y,たいよう,,,Japanese::Adjectives
u2k+0mO~6*,強い,Strong,Y,つよい,,,Japanese::Adjectives
Bu4S2]P1L_,うわ,Yikes / oops / wow / Argh,Y,,,,Japanese::Expressions
mt%CSvZE_i,少し,Small quantity / little / few,Y,すこし,,,"Japanese::Adverbs, Japanese::Nouns"
OZ:B}.dys.,服 ,Clothes (especially western),Y,ふく,,,Japanese::Nouns
N&Fv!DXy!g,笑う,To laugh,Y,わらう,,,Japanese::Verbs
KKy9mYpiBC,,,,,,,
kL;|.C{M[y,いう,"To say / To declare (So and so said, ""blah"")",Y,,,"Also can be used for ""to name/to call""",Japanese::Verbs
c3oXLkKN64,白い,white,Y,しろい,,,"Genki, lesson-9, Vocabulary, い-adjectives_and_な-adjectives"
z`|l?.gRN1,地名,place name,Y,ちめい,,,"Genki, Kanji_Practice, leech, lesson-9, 名_and_白"
jK+:ZgWir6,もう,already,Y,,,,"Adverbs_and_Other_Expressions, Genki, leech, lesson-9, Vocabulary"
juEdHsY4-],作家,author,Y,さっか,,,"Genki, Kanji_Practice, leech, lesson-9, 間_and_家"
zk.0M*L__n,九つ,Nine things,Y,ここのつ,,,"Genki, lesson-9, Numbers_(to_count_small_items), Vocabulary"
"z<w;,K(@39",少し,little,Y,すこし,,,"Genki, Kanji_Practice, lesson-9, 話_and_少"
h9xJ~NuM8J,黄色い,yellow,Y,きいろい,,,"Color_Names, Genki, leech, lesson-9, Useful_Expressions"
QBsgMi<W[H,茶色い,brown,Y,ちゃいろい,,,"Color_Names, Genki, lesson-9, Useful_Expressions"
sCDSGYjzfn,緑,green,Y,みどり,,,"Color_Names, Genki, lesson-9, Useful_Expressions"
eJ#EKJ%e@1,紫,purple,Y,むらさき,,,"Color_Names, Genki, leech, lesson-9, Useful_Expressions"
cTf7ed`z]X,灰色,gray,Y,はいいろ,,,"Color_Names, Genki, leech, lesson-9, Useful_Expressions"
ozo<gx%KMG,水色,light blue,Y,みずいろ,,,"Color_Names, Genki, lesson-9, Useful_Expressions"
M#xKUrg5W1,ピンク,pink,Y,,,,"Color_Names, Genki, lesson-9, Useful_Expressions"
s#pTKL*5qU,金色,gold,Y,きんいろ／ゴールド,,,"Color_Names, Genki, lesson-9, Useful_Expressions"
mCS<R;Ns=,銀色,silver,Y,ぎんいろ／シルバー,,,"Color_Names, Genki, leech, lesson-9, Useful_Expressions"
j|cI2S9}VP,古い,old (for things),Y,ふるい,,,"Genki, Kanji_Practice, lesson-9, 古"
fL7Iz<4rmJ,中古,secondhand,Y,ちゅうこ,,,"Genki, Kanji_Practice, leech, lesson-9, 古"
w?c;>QBb/$,古代,ancient times,Y,こだい,,,"Genki, Kanji_Practice, leech, lesson-9, 古"
LI6E5)X<La,知る,to know,Y,しる,,,"Genki, Kanji_Practice, lesson-9, 古"
k%[y8azq2^,知人,acquaintance (formal),Y,ちじん,,,"Genki, Kanji_Practice, leech, lesson-9, 古"
CgG6+x8f{B,知り合い,acquaintance,Y,しりあい,,,"Genki, Kanji_Practice, leech, lesson-9, 古"
N9mnBn6yQ_,来ます,to come (long-form),Y,きます,,,"Genki, Kanji_Practice, lesson-9, 古"
